key_ID,village,interview_date,no_membrs,respondent_wall_type,no_meals
1,God,2016-11-17T00:00:00Z,3,muddaub,2
1,God,2016-11-17T00:00:00Z,7,muddaub,2
3,God,2016-11-17T00:00:00Z,10,burntbricks,2
4,God,2016-11-17T00:00:00Z,7,burntbricks,2
5,God,2016-11-17T00:00:00Z,7,burntbricks,2
6,God,2016-11-17T00:00:00Z,3,muddaub,2
7,God,2016-11-17T00:00:00Z,6,muddaub,3
8,Chirodzo,2016-11-16T00:00:00Z,12,burntbricks,2
9,Chirodzo,2016-11-16T00:00:00Z,8,burntbricks,3
10,Chirodzo,2016-12-16T00:00:00Z,12,burntbricks,3
11,God,2016-11-21T00:00:00Z,6,sunbricks,2
12,God,2016-11-21T00:00:00Z,7,burntbricks,3
13,God,2016-11-21T00:00:00Z,6,burntbricks,2
14,God,2016-11-21T00:00:00Z,10,burntbricks,3
15,God,2016-11-21T00:00:00Z,5,sunbricks,2
16,God,2016-11-24T00:00:00Z,6,muddaub,3
17,God,2016-11-21T00:00:00Z,8,sunbricks,2
18,God,2016-11-21T00:00:00Z,4,muddaub,2
19,God,2016-11-21T00:00:00Z,9,burntbricks,3
20,God,2016-11-21T00:00:00Z,6,burntbricks,2
21,God,2016-11-21T00:00:00Z,8,burntbricks,2
22,God,2016-11-21T00:00:00Z,4,muddaub,2
23,Ruaca,2016-11-21T00:00:00Z,10,burntbricks,3
24,Ruaca,2016-11-21T00:00:00Z,6,burntbricks,2
25,Ruaca,2016-11-21T00:00:00Z,11,burntbricks,2
26,Ruaca,2016-11-21T00:00:00Z,3,burntbricks,2
27,Ruaca,2016-11-21T00:00:00Z,7,burntbricks,3
28,Ruaca,2016-11-21T00:00:00Z,2,muddaub,3
29,Ruaca,2016-11-21T00:00:00Z,7,burntbricks,3
30,Ruaca,2016-11-21T00:00:00Z,7,muddaub,2
31,Ruaca,2016-11-21T00:00:00Z,3,muddaub,3
32,Ruaca,2016-11-21T00:00:00Z,19,muddaub,2
33,Ruaca,2016-11-21T00:00:00Z,8,muddaub,2
34,Chirodzo,2016-11-17T00:00:00Z,8,burntbricks,2
35,Chirodzo,2016-11-17T00:00:00Z,5,muddaub,3
36,Chirodzo,2016-11-17T00:00:00Z,6,sunbricks,3
37,Chirodzo,2016-11-17T00:00:00Z,3,burntbricks,3
38,God,2016-11-17T00:00:00Z,10,muddaub,3
39,God,2016-11-17T00:00:00Z,6,muddaub,3
40,God,2016-11-17T00:00:00Z,9,burntbricks,3
41,God,2016-11-17T00:00:00Z,7,muddaub,3
42,God,2016-11-17T00:00:00Z,8,sunbricks,3
43,Chirodzo,2016-11-17T00:00:00Z,7,muddaub,2
44,Chirodzo,2016-11-17T00:00:00Z,2,muddaub,2
45,Chirodzo,2016-11-17T00:00:00Z,9,muddaub,3
46,Chirodzo,2016-11-17T00:00:00Z,10,burntbricks,2
47,Chirodzo,2016-11-17T00:00:00Z,2,muddaub,3
48,Chirodzo,2016-11-16T00:00:00Z,7,muddaub,3
49,Chirodzo,2016-11-16T00:00:00Z,6,burntbricks,3
50,Chirodzo,2016-11-16T00:00:00Z,6,muddaub,2
51,Chirodzo,2016-11-16T00:00:00Z,5,muddaub,3
52,Chirodzo,2016-11-16T00:00:00Z,11,burntbricks,3
21,Chirodzo,2016-11-16T00:00:00Z,8,burntbricks,2
54,Chirodzo,2016-11-16T00:00:00Z,7,muddaub,2
55,Chirodzo,2016-11-16T00:00:00Z,9,muddaub,2
56,Chirodzo,2016-11-16T00:00:00Z,12,burntbricks,3
57,Chirodzo,2016-11-16T00:00:00Z,4,burntbricks,2
58,Chirodzo,2016-11-16T00:00:00Z,11,burntbricks,2
59,Chirodzo,2016-11-16T00:00:00Z,2,muddaub,2
